income,age,employment_years,loan_amount,loan_term,existing_debt,credit_history,previous_defaults,default
2902.108393790635,57,22.81974477615786,26860.003981595066,37,66097.38596903789,1.5771304763343221,0,0
2046.6398593622985,18,0.0,18266.739479749485,12,27041.295203189136,0.0,0,1
3153.375344141107,73,1.879657397259808,38243.952026886924,28,68623.62316210651,7.6256422971023685,1,0
5103.421218801587,71,16.941559299530933,14082.674269652503,28,37094.5642641019,18.996172825758283,0,0
1941.4990190194028,21,2.4312987407195115,10308.59330994488,51,39173.58475368339,1.4183430903331893,0,1
1941.5165503993849,78,41.38209209171212,32273.14723927547,23,5516.9932815265265,53.725595020117716,1,1
5263.58192616074,47,21.02125475381653,65210.645057689755,12,100906.85821554437,0.6507782089721417,0,0
3368.0495964280676,29,7.679286164918759,4137.813113944075,47,32581.320342010746,6.151228691264639,0,0
1705.7993174255762,73,17.10351617606683,7639.64917154963,45,20042.719317588286,35.3387375034317,1,0
2976.216148834567,52,3.38857335061038,37524.82821791589,29,12411.366007509,10.763798509368499,0,0
1711.4911190202856,30,3.269606208397152,23951.952710744867,19,797.0280869343394,3.485841255713517,0,0
1709.3161129191158,69,42.421050309443125,26114.269615657864,55,28468.552734762343,25.013927084033845,0,0
2522.6854033326154,48,29.414123933492135,15052.878073765174,10,37065.70837014841,5.613012535940177,0,0
1500.0,55,18.27233954543777,25241.22920507785,51,23341.055702612153,17.320400395383487,0,0
1500.0,60,0.40741490676777325,15600.145786236257,59,9562.565926009493,32.131063586586194,0,1
1620.9081521738833,40,3.0809858669530388,20814.346407001845,27,9696.169755467758,18.598701091531325,0,0
1500.0,21,0.9662417259487973,16716.841000887653,27,31136.111672596788,1.155484154696702,0,1
2624.9996269919275,69,29.507852778240437,8102.273788535335,15,49957.20479009538,31.482387370327963,1,0
1500.0,33,1.1264046870797095,26059.423814314432,31,12629.629344051024,0.00030776941342458564,0,0
1500.0,24,5.66014379225929,4633.327287300893,20,23917.71434908801,3.3021149020287135,0,0
4944.874294011261,39,7.666757138972415,26370.981276515588,43,102377.44167999216,20.479962413242287,0,0
1950.4649026007721,46,25.552358101895045,28928.659513191364,46,43340.76578610825,8.743420760513919,0,0
2291.909318226561,28,7.805218027570218,26393.96770317376,47,332.68558704869537,5.947761242092461,0,0
1500.0,73,41.54904998835696,22872.803717097104,60,30504.839742552158,41.92560117050871,1,0
1636.9491296076294,50,19.415026553031424,15988.925508930466,54,14339.36066416727,19.485856671668564,1,0
2347.2681095772123,75,35.72667757195514,17390.63949091866,6,42155.66096169741,23.854498316609845,1,0
1500.0,46,17.86409058605495,25007.060238468515,19,13927.551172499987,4.272116052666879,0,0
2715.2353402146878,76,36.465840447483764,4388.60609278922,41,41152.72363589977,26.894681052577386,0,0
1587.0761778572148,56,21.041672793137728,24685.722101578656,36,25662.325069747887,11.201799948786482,0,0
